idxLoop;idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
1;1;11.49199999999837;37802.294;35.128;801.1575870264957;4.511582278481013;-0.09208860759493749;-1.1458000000000002;4.512522018467356;4.655718269735907
1;1;11.503999999993539;37802.306;35.731;808.7891581884724;4.513987341772151;-0.08898734177215227;-1.1492;4.514864390950728;4.658826151368484
1;1;11.515999999995984;37802.318;36.335;820.1556043677188;4.51639240506329;-0.09094936708860744;-1.139;4.517308063868037;4.658690067378082
1;1;11.527999999998428;37802.33;36.945;828.8764391606026;4.5181645569620255;-0.0929113924050635;-1.139;4.5191197694491905;4.660446812337472
1;1;11.539999999993597;37802.342;37.559;839.3364839597463;4.518734177215189;-0.09329113924050567;-1.1356;4.519697091730089;4.660176945245044
1;1;11.551999999996042;37802.354;38.185;851.9140361497127;4.5177848101265825;-0.09265822784810117;-1.1288;4.518734904572123;4.657591070263515
1;1;11.563999999998487;37802.366;38.807;859.8267509519267;4.5157594936708865;-0.0927848101265819;-1.139;4.51671261269399;4.658112689241102
1;1;11.575999999993655;37802.378;39.439;864.718937336038;4.521455696202532;-0.09360759493670881;-1.1424;4.522424570355171;4.664483010425931
1;1;11.5879999999961;37802.39;40.076;875.1267275221478;4.520316455696202;-0.0927848101265819;-1.1424;4.5212686140759315;4.66336226778792
1;1;11.599999999998545;37802.402;40.72;884.995311109767;4.52006329113924;-0.08955696202531685;-1.1424;4.520950409521399;4.663053759646323
1;1;11.611999999993714;37802.414;41.367;896.3718085460671;4.520632911392405;-0.0877215189873415;-1.1356;4.521483936105227;4.661909945983257
1;1;11.623999999996158;37802.426;42.019;903.3886419792746;4.524113924050632;-0.09126582278480969;-1.1356;4.525034391935314;4.6653535351779505
1;1;11.635999999998603;37802.438;42.681;913.1245334327486;4.52367088607595;-0.09392405063291195;-1.1356;4.52464584391071;4.664976674413117
1;1;11.647999999993772;37802.45;43.338;923.511573076244;4.522151898734177;-0.09341772151898728;-1.1356;4.523116698242366;4.663493543033905
1;1;11.659999999996217;37802.462;44.007;932.5918762516792;4.524240506329114;-0.09075949367088591;-1.1322;4.5251507648696645;4.664639995197969
1;1;11.671999999998661;37802.474;38.977;858.3770073947599;4.526708860759493;-0.09398734177215186;-1.1288;4.527684477797885;4.666274335108461
1;1;11.771999999997206;37802.574;34.3;780.6479585557937;4.527278481012658;-0.09265822784810117;-1.1356;4.528226583534467;4.668449780369093
1;1;11.87199999999575;37802.674;29.965;707.1201931686073;4.524240506329114;-0.09240506329113975;-1.1288;4.5251840686132265;4.663848228108517
1;1;11.971999999994296;37802.774;25.977;631.8057510466333;4.520506329113924;-0.09322784810126575;-1.1254;4.521467560783847;4.659419927761463
1;1;12.072000000000116;37802.874;22.338;551.2301803955895;4.5225949367088605;-0.09474683544303797;-1.1356;4.523587284928975;4.663949965894905
1;1;12.171999999998661;37802.974;19.046;474.87494552410635;4.521898734177214;-0.09196202531645588;-1.1424;4.522833755097992;4.664879734382635
1;1;12.271999999997206;37803.074;16.102;402.27755661214184;4.515632911392405;-0.08791139240506392;-1.1594;4.5164885700469615;4.662925837214747
1;1;12.37199999999575;37803.174;13.499;334.1370055787697;4.512215189873418;-0.08962025316455675;-1.1729999999999998;4.51310510729605;4.663051223126515
1;1;12.471999999994296;37803.274;11.247;271.5010224816368;4.5102531645569615;-0.08506329113924103;-1.1967999999999999;4.511055239286648;4.667113627489212
1;1;12.572000000000116;37803.374;9.342;217.4610606442834;4.5065822784810114;-0.07816455696202618;-1.224;4.507260091306488;4.670499922993701
1;1;12.671999999998661;37803.474;7.782;170.99803457080674;4.503164556962026;-0.07753164556962079;-1.2784;4.503831944371785;4.681752742632158
1;1;12.771999999997206;37803.574;6.568;135.54511273042843;4.50107594936709;-0.07284810126582254;-1.326;4.501665419356362;4.692895433293703
1;1;12.87199999999575;37803.674;5.701;111.30551507776332;4.497594936708861;-0.061392405063291966;-1.36;4.49801392195585;4.699120049765556
1;1;12.971999999994296;37803.774;5.18;97.07499685153222;4.5006329113924055;-0.056518987341772194;-1.3736000000000002;4.50098778036984;4.705918396980405
1;1;13.072000000000116;37803.874;5.008;92.73464790330175;4.498101265822785;-0.06145569620253187;-1.377;4.498521068105859;4.704553198784373
1;0;13.171999999998661;37803.974;5.008;92.79970282032353;4.517341772151899;-0.039620253164557265;-1.343;4.517515517503983;4.7129179338165095
1;0;13.31699999999546;37804.119;5.004;92.44202743812373;4.515443037974684;-0.029493670886076465;-1.3532;4.515539359347494;4.7139416570229615
1;0;13.918999999994412;37804.721;5.007;92.84538777629238;4.510569620253165;-0.03139240506329083;-1.3532;4.510678860465067;4.709285935494513
1;0;14.519000000000233;37805.321;5.008;92.28757849070169;4.513354430379747;-0.028607594936708745;-1.3634;4.513445093131914;4.714874989723115
1;0;15.117999999994936;37805.92;5.007;92.67972354409734;4.507278481012658;-0.014493670886075899;-1.3634;4.50730178398291;4.708994471423334
