 	Area	StdDev	XM	YM	Major	Minor	Angle	Slice
617	515	11253.210	111.743	124.114	26.089	25.134	52.726	206
618	551	7894.154	185.092	128.714	26.739	26.237	133.126	206
619	529	11140.742	40.312	123.226	26.084	25.822	56.131	207
620	519	11235.984	111.756	123.816	25.886	25.528	71.279	207
621	548	7900.593	185.140	128.532	26.489	26.341	162.644	207
622	537	10999.783	40.179	123.078	26.192	26.105	56.381	208
623	514	11239.645	111.650	123.689	25.867	25.300	40.689	208
624	547	7919.631	185.086	128.481	26.543	26.239	156.699	208
625	537	11062.321	40.182	123.140	26.195	26.102	124.557	209
626	518	11240.784	111.656	123.815	25.905	25.460	53.551	209
627	554	7912.999	185.140	128.788	26.975	26.149	116.520	209
628	528	11044.057	40.175	122.647	25.965	25.891	3.664	210
629	513	11257.457	111.645	123.529	25.760	25.356	47.716	210
630	551	7904.851	185.136	128.605	26.635	26.339	137.743	210
631	460	12393.047	40.295	123.004	25.510	22.959	153.796	211
632	332	13092.918	111.843	123.644	21.808	19.383	103.729	211
633	551	9559.895	185.556	128.851	27.515	25.497	149.570	211
634	533	11217.285	40.189	122.873	26.172	25.930	134.765	212
635	515	11360.523	111.631	123.605	25.928	25.289	25.650	212
636	550	8067.096	185.129	128.755	26.694	26.233	149.212	212
637	520	8082.660	39.999	122.837	26.075	25.392	102.354	213
638	504	8531.622	111.442	123.580	25.675	24.993	82.258	213
639	570	5195.792	184.732	128.970	28.319	25.628	110.742	213
640	460	12392.888	40.371	122.981	25.305	23.145	155.647	214
641	341	13022.034	111.899	123.570	22.046	19.694	110.005	214
642	541	9599.661	185.640	129.058	27.319	25.214	150.414	214
643	535	11150.787	40.327	122.793	26.153	26.046	129.927	215
644	515	11335.569	111.776	123.346	25.869	25.348	42.385	215
645	555	8074.191	185.277	128.936	26.839	26.329	130.145	215
646	516	8024.009	40.263	122.434	26.189	25.087	105.743	216
647	503	8526.987	111.664	123.084	25.543	25.073	65.801	216
648	570	5220.192	184.972	128.889	28.575	25.398	115.710	216
649	538	11520.757	40.628	122.464	26.304	26.041	56.660	217
650	512	11620.721	112.053	123.236	25.851	25.217	29.283	217
651	563	8581.984	185.606	128.698	27.182	26.372	146.313	217
652	519	9362.509	40.478	122.224	26.038	25.379	82.258	218
653	509	9738.736	111.885	123.036	25.814	25.105	66.398	218
654	551	6189.930	185.227	128.553	27.720	25.308	116.705	218
655	639	5369.304	40.293	122.257	29.693	27.400	131.936	219
656	581	5565.505	111.717	123.004	27.871	26.542	120.056	219
657	728	3722.377	184.850	128.404	31.114	29.791	101.108	219
658	519	9857.015	40.586	122.570	25.855	25.558	95.234	220
659	509	10218.515	112.018	122.894	25.938	24.986	65.249	220
660	551	6731.418	185.412	128.718	27.390	25.613	117.670	220
661	584	5916.758	40.487	122.606	28.489	26.100	127.243	221
662	535	6273.510	111.894	122.829	27.205	25.039	109.043	221
663	687	4133.465	185.070	128.733	30.810	28.390	108.798	221
664	780	3097.105	40.408	121.574	32.134	30.906	118.415	222
665	748	3212.727	111.706	122.247	31.389	30.342	118.633	222
666	809	2177.675	184.699	128.328	33.408	30.832	111.532	222
667	516	8713.689	40.783	121.852	26.020	25.250	93.387	223
668	506	9266.314	112.235	122.322	25.603	25.163	75.927	223
669	555	5900.808	185.543	128.804	28.106	25.142	114.624	223
670	660	5186.335	40.663	121.779	29.982	28.028	131.236	224
671	599	5442.954	112.070	122.169	28.581	26.685	116.678	224
672	726	3773.032	185.196	128.511	31.204	29.624	98.730	224
673	806	2589.145	40.532	121.513	32.902	31.190	119.534	225
674	770	2722.744	111.767	121.753	31.940	30.695	116.669	225
675	843	2015.572	184.750	128.239	34.155	31.426	118.192	225
676	520	8768.634	40.483	121.940	26.175	25.295	93.738	226
677	507	9258.787	111.884	122.305	25.602	25.214	65.377	226
678	558	5883.200	185.219	128.870	28.253	25.146	116.443	226
679	651	5270.960	40.436	121.850	29.921	27.702	127.280	227
680	594	5444.690	111.841	122.251	28.466	26.568	119.589	227
681	726	3810.237	184.960	128.774	31.065	29.756	100.613	227
682	813	2548.076	40.263	121.730	33.038	31.332	121.880	228
683	767	2654.040	111.524	121.850	31.836	30.675	118.802	228
684	841	2007.290	184.474	128.596	34.219	31.292	116.859	228
685	514	8777.595	40.376	121.635	25.968	25.202	102.245	229
686	501	9249.045	111.786	122.316	25.486	25.029	60.026	229
687	561	5906.104	185.075	129.032	28.320	25.222	115.033	229
688	658	5181.491	40.044	121.637	29.853	28.064	134.534	230
689	590	5371.338	111.499	121.866	28.076	26.757	122.919	230
690	727	3787.787	184.596	128.499	31.025	29.835	101.171	230
691	145	381.027	148.117	159.145	14.525	12.710	81.444	230
692	810	2552.109	40.073	121.543	33.000	31.252	128.510	231
693	776	2676.456	111.362	121.634	31.988	30.887	106.469	231
694	841	2011.103	184.307	128.358	34.274	31.243	117.080	231
695	514	8668.401	40.277	122.210	25.833	25.333	92.331	232
696	505	9122.548	111.666	122.343	25.551	25.165	70.954	232
697	558	5860.144	184.962	128.923	28.244	25.155	118.768	232
698	659	5177.639	40.029	122.322	29.703	28.249	134.890	233
699	595	5380.977	111.489	122.426	28.429	26.648	118.127	233
700	727	3790.079	184.617	128.756	31.131	29.734	100.674	233
701	816	2585.001	39.943	121.850	33.022	31.463	122.720	234
702	766	2692.435	111.194	122.047	31.705	30.762	119.009	234
703	841	2001.483	184.136	128.738	34.329	31.192	119.991	234
704	517	8719.601	40.235	122.760	26.000	25.318	93.884	235
705	508	9224.438	111.669	122.745	25.783	25.086	90.354	235
706	564	5927.041	184.939	129.408	28.404	25.282	117.136	235
707	594	5373.807	111.546	122.620	28.333	26.693	120.456	236
708	668	5153.659	40.118	122.728	29.943	28.405	126.112	236
709	724	3801.499	184.627	129.052	30.945	29.789	109.855	236
710	817	2588.826	39.997	122.057	33.107	31.420	127.592	237
